number,review
485,"Original review: Jan. 3, 2019
I just had my second experience with Uber doubling my fare. The quoted fare was MX $73 pesos and I was charged MX $148.99. A taxi to my destination, which I go regularly, is MX $80. I would never get in a cab without confirming the fare, or buy an airline ticket. Why would Uber expect me to do that? For the fare to be over DOUBLE the quote is criminal. Why would I continue to use Uber if their rates are double that of a taxi?"
486,"Original review: Jan. 3, 2019
I have used Uber to get to and from places and generally have never had any issues. During certain nights, events or holidays they, as well as other companies, are known to increase the price of transport. For example, the general price to and from my house to downtown is $18 but they increased the price to $30 on New Year's of 2017-2018. That was annoying because they knew that many people would be vulnerable at 2-3 am and willing to pay that amount to get home. It was frustrating but doable, especially if you were lucky enough to find a buddy to split it with. However, this New Year's (2018-2019) Uber began adding surge charges in the beginning of events, thus I was charged about $30 to get to the event and then they had the audacity to increase the surge charge to $98 for the return trip! $98! Almost $100 to be driven 15 to 20 min. away. That is beyond ridiculous. 
It resulted in hundreds of drunk adults wandering the streets after everything had closed because they literally could not afford to go home. I had strangers coming up to me and asking if I was headed in the same direction so that we could split the cost. Normally an hour or so after the event ends, the price will drop a little but at 3 am the price went from $98 to $97. I don’t know how that is legal but that is a disgusting way to take advantage of others. It was increased so drastically that it was enough to make anyone question whether they were truly sober enough to drive, even at the risk of getting a DUI. I was fortunate enough to find other means of transportation & avoid paying that absurd amount but never again will I put myself in that situation where I am relying on Uber to get home and am stuck somewhere full of drunk people after 2 am because I chose to drink therefore not take my car.

                    
                "
487,"Original review: Jan. 1, 2019
1st Trip on 31 December 2018 @ 16:30 - Trip Number: 2nd Trip on 1 January 2019 @ 03:00 - Trip Number: 1st Trip from home at 7 ** Street, Winchester Hills to ** Mount Street, Bryanston. Driver: Xolani Passengers: two Cost of Trip = R275. Trip cost was shown before accepting the Uber ride. 2nd Trip from ** Mount Street, Bryanston Driver: Peter Passengers: two Cost of Trip (Charged Twice) 1st Charge R863.00 2nd Charge R865.0 15 Minutes after arriving home, the R863.00 was reversed. Trip cost was not shown before accepting the Uber Ride.
This is our complaint: The driver, Peter was around the corner and we walked to meet him outside the gate that was about 0.750 meters away. The app at no point displayed the charges or surcharges to be applied - we had no idea that this was even a possibility. We would have never taken the drive and would have waited if we were informed. The driver was either drunk or sleepy as he kept veering off the road and into other lanes. Customers should not be charged more if it’s the company that is suffering from short services. 
2nd charge was higher as well. Cost of the trip “unbeknownst” was more than triple the amount. The charges going from home to ** Mount street was displayed as what it would cost us for New Years Eve trip. Why was the New Year's day trip more than 3 times the charge? It does NOT make any sense. We would have gotten Taxify instead if we were notified of the surcharge. We had a problem similar on November 9th. The issue was never resolved when we went through the Uber Help. The app displayed a price, but their charge was almost double. Please assist with resolving this issue as Uber South Africa is not interested in resolving or assisting with matters before.

                    
                "
488,"Original review: Dec. 31, 2018
I also went back to driving UBER after losing my job, all my information was updated and on 12/26 I received a $2.00 direct deposit. What I earn was 108.31. I'm still waiting. I haven't drove. Battery is dead in my car and I have not been able to pay my phone bill. The third party customer service those people have no clue. They're rude and honestly they're stealing our money. I am really disappointed in Uber. My situation has gotten worse. Waiting for my money."
489,"Original review: Dec. 30, 2018
I recently started driving with Uber again and it’s only been a month. But somehow 4 times that I tried to do instant pay it fails. SMH. And when I calls driver support they tries to blame everyone but their selves. And this last time it failed. I’ve been waiting a week and still haven’t been paid. If you’re thinking about driving for Uber, I wouldn’t. They don’t care about the inconvenience of not paying you after you worked hard for them and they are very unprofessional."
490,"Original review: Dec. 30, 2018
Uber is a great business idea, in theory. Employ ambitious people willing to provide a cheap taxi service using their own vehicles for those brave souls willing to get into a stranger's messy car with the expectation of getting to their destination alive and in one piece for an agreeable price. Less costly than a limo, and far better than collecting returnable cans and bottles from the roadside for those seeking easy cash income. Win-win, right? Not so fast. Without delving into the obvious, the possibility of slipping into the back seat of a serial killer or the rolling annex of a hoarder's hovel, allow me to address the drivers here, who have only recently been permitted to receive and expect a TIP from their passengers, in addition to their 70% share of the cost of an Uber ride from their (yes, brave) fares.
Pay attention, Patel, for I am only going to say this once. When you see gray heads flagging you down at the passenger pickup at the airport, and those seniors are hauling luggage, no matter how small and light, step OUT of your Camry and load those parcels into your trunk YOURSELF, instead of sitting there like an impatient camel jockey while Mr. and Mrs. GotRocks hoist their own bags. Older folks who travel have MONEY and are your prime tipping prospects. These are not drunken bar ** hailing a ride home from the club. And when you deliver those gray-haired walking wallets to their luxurious suburban homes, trot your lazy ** out of the car to unload their luggage for them. Carry it a few yards to the front door, if you have to. If you make me play bellboy on either end of my journey with my bags, you are going to not only starve for a tip but suffer a mediocre (at best) review of my Uber ""experience"".
I know what it is to serve the public, having put my younger self through college as a bartender. And I know enough to tip in cash when it is EARNED. Just this evening, the lady and I returned home from a very exhausting trip covering 12 hours and thousands of miles, and the fool driving for Uber sat in his car and popped the trunk in the chaotic pickup lane at JFK while we wrestled with our luggage, hoping the next car along did not smash into us while Mr. Uber driver continued to chat on his cellphone from the comfort of the driver's seat. Did I leave this lazy amateur a tip? Heck no, I did not. He was gone and out of my driveway before we even made it to the front door, and I hope he enjoys his 2-star rating. He surely earned it.

                    
                "
491,"Original review: Dec. 29, 2018
If anything goes wrong with the instant payment option, you have to have your bank account linked or you can't get paid. So if you don't have enough a bank account you're screwed and will not be paid. Their support told me this. I'm writing a review and reporting them."
492,"Original review: Dec. 28, 2018
Ordered food through UberEats. Driver ran away with food. Uber charges me for the food anyway stating that's their policy. Contacting customer service certifies that there isn't a concept of service, the agents only correspond via email and have kept on sending generic comments without attempting to understand what may have happened. Every correspondence is abruptly closed without any resolution. When I posted a review on the Google play store, the company immediately responds that I can contact them for assistance. When I did that the same circus started again. This is the worst customer service by any standard."
493,"Original review: Dec. 28, 2018
Their system of Uber Cash cash to not allow partial payment for rides is atrocious. This is simply a way for them to keep our cash and use it for their own interest bearing bank account. Nothing Against the drivers, but the company tactics are."
494,"Original review: Dec. 26, 2018
On Tuesday December 24, 2018 at about 5:37 am I opened the Uber app on my tablet and immediately confirmed a pick for $13.92 (pool). The car came by at about 5:39/5:40 am. Slowed down as I was approaching, sped off about a block, slowed down again and did a u-turn to the opposite side of the street. All this time I began running after it. I caught it at the stop light, opened the door and got in. He claimed he did not see me coming after him. This was strange, the street was empty, early morning and with my hands waving I was unseen? God bless there was the stop light that have him came to a complete stop.
He dropped me off the corner on the back of the street I was working on. When I settled down to check the app to give a rating I noticed the fare was $24.93. I have been contacting Uber and they are insisting that was the fare that showed up. From since I have been taking the Uber pool never had to paid that fare going or coming. I don’t understand what is going on at Uber. I am so disappointed because these people don’t know how to treat the few of us who have been loyal keeping them in business.

                    
                "
495,"Original review: Dec. 23, 2018
Tried to register on the website to get a trip to the airport. The website needs to be revamped so it's user friendly and does not take your valuable time away. I used the Super Shuttle instead after dealing with the bad website. Not sure why it can't be a little easier to book a trip with a car. This is ridiculous."
496,"Original review: Dec. 22, 2018
A couple of weeks ago I ordered an Uber, and got connected to one a couple of kilometers away. He calls, confirms my location and says he will be there in a couple of minutes, fine and dandy. 10 minutes have passed and no sign of him, I try to call again, his phone is switched off, with the app still running on my phone. Since I waited over 5 minutes to cancel the trip, I am charged with a cancellation fee, even though it's not my fault whatsoever!
I let bygones be bygones and move on with life.
This morning I tried to order an Uber once again. At 8:15am I requested one, showed he was 10 minutes away on the app, however I can see the car moving further and further away. I try call the driver, no answer. Maybe he is dealing with a customer or unable to talk, I get it. 5 minutes pass, I try catch him again, no answer and then he proceeds to cancel my trip. Get another driver, try call him, no answer once again. 3rd time us the charm right? I request another driver, this one at least picks up, but says that he is out of the 3km pickup radius (I was approximately 5 km away), and does not see the point of driving all the way to pick me up (it's a large private residential estate, I highly doubt there are any Ubers within the 3km radius either way, but he hung up. 
By now it's 8:50am, and I decide to use a competitors app, Taxify Kenya, they had a driver in the same area as the last one, he says since it's so early on a Saturday morning there should be no traffic and is at the pickup location within 10 minutes. Due to Uber I was late by 40 minutes to my destination, all because the drivers are not in the mood to do their pickups. I am very disappointed, irritated and most definitely will not be using the Uber app in Kenya as my go to taxi app any longer.

                    
                "
497,"Original review: Dec. 22, 2018
I scheduled a driver for three hours away, for when I needed to go to the airport. One showed up immediately, and then charged me a 'cancellation fee' for not being packed. Uber said they would cancel it. But they only gave me a credit toward a future ride. They refused to refund it, as any ethical company would do. So they made a big profit of $6 on the deal. Because I do not deal with unethical companies. Lyft is just fine."
498,"Original review: Dec. 22, 2018
My daughter used Uber services to take a ride to her destination in Philadelphia. After exiting the car and crossing the street, the Uber driver hit her with the car knocking her to the ground. Once she got up, the Uber driver returned to her car and drove away, leaving my daughter standing at the curb. Unacceptable. Highly recommend not using over services. Only reason I am giving this one star is because it will not let me proceed with this comment without giving it at least 1 star."
499,"Original review: Dec. 20, 2018
I've spent hours trying to register on the app. The support team hasn't been helpful. At this point I want compensation for the time invested in it. But of course these cheapskates won't pay out unless forced to."
500,"Original review: Dec. 19, 2018
I set up an Uber account in June 2018 for a trip scheduled to Seattle. I used the train system instead of Uber, however, someone had used my account several times in foreign countries and edited my personal account. I’ve tried several times to reach someone to cancel/refund my account but keep get redirected to use the “help” link within my account. I’m unable to communicate through the help link because the person whose edited my account has access to it! It’s crazy. I’ve sent a message through “Get Human Services” for Uber to contact me immediately and provided my cell last week - still no follow-up. Uber has no customer services value and clearly shows it. I’m appalled at their lack of services that get so much national exposure/marketing. All I want is to have safety of my personal information and stop others from using it. Be aware of your potential risks before signing up."
501,"Original review: Dec. 19, 2018
I paid cash on 11/21 Thanksgiving eve because I was travelling overseas and did not want to use any money from my account as I had bills planned ahead while I was away, so I took an Uber to JFK that day and it went well then about two weeks later on 12/8 I returned and again took an Uber from JFK to my home and still paid cash. Only to look in my bank account two days later and found Uber had charged me twice both journeys. They refunded me some of it and they are still holding my money. I went back and forth with them via FB messenger because of course you can never call them since they don't reveal their phone numbers to customers. I am still waiting for them to honor their word and save their reputation. I will continue to complain until they return my full amount."
502,"Original review: Dec. 18, 2018
This complaint is as much for Uber as it is its insurance company, the James River Insurance Company. I was hit by an Uber driver on August 25th, 2018 in Connecticut while riding on my motorcycle. Although I suffered many injuries, I am alive and am grateful for that. What I am not grateful for is Uber's insurance company that still has not settled on a fair price for my totaled motorcycle. I had a lot taken from me that night and have had zero compassion from the insurance company that represents Uber drivers. I have made numerous phone calls and emails to James River Insurance Company without return calls or emails. It's now going on five months with no agreement on a settlement, and that is appalling. I will be publishing more news about Uber and James River Insurance company on this site and others in the upcoming days. My goal will be to spread awareness about unfair practices that are being used by both companies."
503,"Original review: Dec. 18, 2018
I took a ride on Sunday evening and didn't touch alcohol that night, absolutely no incident happened inside the car that night. Today I am being charged 150$ for a cleaning service!!! Drivers are scamming customers, making up stories so they can get extra cash. Uber should be ashamed of the service that they have been providing. It's very unethical and embarrassing for the company to keep people like that."
504,"Original review: Dec. 18, 2018
Uber has no method for allowing users to establish accounts with phone numbers that do not receive SMS messages. As a result, none of the apps I downloaded will work, and I cannot request rides. Their helpdesk has not responded to me with any useful information."
505,"Original review: Dec. 18, 2018
They charged me a $125 transaction fee for a trip that costs $5.00. How is that even possible? This is a scam! I took a ride less than a mile and this is what I was charged. It’s unbelievable. I was way overcharged. It’s fraud!"
506,"Original review: Dec. 18, 2018
Suddenly Uber is adding an extra $2.50 to your ride. They call it a surcharge and when you complain try to explain that perhaps the driver paid a toll, even if the driver arrived within 2 minutes (literally) of your call. They are doing nothing more than taking more money and offering nothing in exchange. They want as much of your money as they can get their hands on. Beware. They'll call it any name they can think of. Tolls? Not. Surcharge? Definitely. More money in the Uber coffers. Rider beware!"
507,"Original review: Dec. 16, 2018
I requested a driver to take me about 25 miles. The stated fare was $42.07...reasonable for the long distance, and I have a pass which discounts the trip afterwards. I watched on the app as the assigned car drove around about 3 miles away...then received a request to rate my trip, all within about 5 min of requesting the 25 mile trip. I figured the driver must have cancelled or something and requested a new trip. The second driver came and drove me to the requested destination. Same distance, same stated fare, no problem. I noticed later that I had been charged for both trips though. I know mistakes happen, so just messaged Uber to request that they refund the trip that did not occur. 
They replied that the trip had been completed as requested...despite the fact that the driver never came within 3 miles of the requested pickup, that the trip he reported was 1 mile and the requested trip was 25 miles. I replied that it was ridiculous to believe that the 1 mile trip was 'as requested', since I had been quoted $42 for the trip, and more importantly...the driver never picked me up, so it could not have been 'completed' as requested or otherwise. Again customer service insisted that the trip was completed as requested. The third time I asserted that they could not charge me for a trip that they did not pick me up for, someone replied that 'oh, maybe someone else took the trip you requested'...which is fine. I know mistakes can happen, but I am still angry that they insisted twice that the charge was valid. 
I did eventually receive a refund for what I had been charged for the non-existent trip, but still have not seen the trip returned to my pass, so am still out the $40 to use on another trip. They also do not have a good system for drivers claiming wait times...I do everything I can to tell the driver exactly where I am, and more often than not the driver will pull up a block away and on the other side of the street and just wait...of which I am charged some amount of money as a 'wait fee'. The wait fee makes sense if the driver really has to wait for the customer to arrive at the pickup point, but if I put in 123 main street and say 'I’m under the sign for the 123 Diner', and the driver stops at 150 main street and starts his meter...that is pretty unfair to me, especially if I'm standing in the cold waiting, to make sure he/she doesn't have to wait for me.

                    
                "
508,"Original review: Dec. 15, 2018
When I scheduled Uber to pick me up at 6AM and take me to the airport, the instructions I received stated that the driver would arrive between 6 and 6:10, and I would be charged every minute I was late. The driver arrived at 6am, I walk out at 6:05 only to find that the driver left!!! Luckily, I had a car and there was enough time to drive to the airport and park my car. Otherwise, I would've have missed my flight!
The SAME WEEK, I scheduled another Uber pick up. The driver was approaching my location and had stopped in the middle of the road, 3 lanes away from me! I wasn't sure if it was Uber and I could NOT see his license plate because he was facing me and had no way to verify it was Uber before jumping in the car. He rolled down his window, and I asked, ""Are you Uber?"" He slightly nodded so I still wasn't sure. I asked, ""Are you going to drive over to me?"" (I wasn't about to cross 3 lanes and hop in a car in the middle of the road. That's just common sense as it does not seem like a safe thing to do. Not to mention that I had no way to verify if it was Uber!) He then rolled his eyes and drove away. As he drove away, I saw his license plate and realized it was Uber. He then canceled my trip and I am the one who was charged!?? Really? 
I finally figure out how to get a ""refund"" except it's a credit and NOT a refund. I am now trying to figure out how to get my money back aka REFUND! Uber makes it so difficult, one has to question whether they purposely do that in hopes that people will just give up. Potentially one million frustrated people - who ""give up"" trying to figure it out; after all it's ""only $7"", right? But multiply 1 million by $7, that's a lot of money paid to a corporation who never provided a service. Even worse, money paid to a corporation who also made the client worse off than client would have been had Uber never allowed such behavior to occur in the first place!

                    
                "
509,"Original review: Dec. 14, 2018
I have been riding Uber premier cars for the past 2-years in various Indian cities. What I have seen is that the 100% of Indian Uber drivers as all the other taxi drivers in the country do not close their windows and use air-conditioning or heater (in winter) when they are not on a trip with their riders. The Uber drivers thus maintain a filthy interior with dusts of all kinds on all the cars along with mosquitoes freely 'roaming' inside the cars. 
The Uber drivers of India are specialists of mosquitoes breeding and I've always wondered as to how these drivers are immune to this menace! Uber India did not implement a rule that ensures clean interior to the riders but charges their customers exorbitantly all the time. Uber India offers its riders the filthy cars for all in the country. Why not Uber headquarters in the U.S instruct their Indian counterpart on maintaining clean cars without mosquitoes please? The drivers of Uber Premium cars must always close their windows of their car so that the interior is always clean.

                    
                "
510,"Original review: Dec. 11, 2018
I’ve been waiting a week for a check from them. I have auto payment for my bills and got charged $70 from the bank because I didn’t have the money in there for them. I called and was told it was a “glitch”. It shouldn’t take more than a week to fix. Asked to talk to a supervisor and got completely blown off. Terrible company to work with."
511,"Original review: Dec. 11, 2018
Uber uses every trick they can to get you out of every penny. It’s sicking. The customer service suck, or lack thereof. The company doesn’t even have a number for the riders to call. I was charged for two different rides that I never took, this was three days ago and I still have not heard from Uber. This company needs to be checked. Our country has checks and balances just for scam companies just like this!"
512,"Original review: Dec. 11, 2018
My ride canceled itself within like 2 seconds of booking it three times in a row and got charged every time. This happened before and I let it slide but it happened three times in a row again. Money is being stolen here and help is useless. Very hard to navigate the help page and no contact email or phone. Thieves! Going on to their competition now... Should of done it long time ago!"
513,"Original review: Dec. 10, 2018
Recently bought an Uber with a few friends in Grand Rapids, MI. Once we got in his car he refused to drive us anywhere unless we gave him extra cash. My friend refused to let us give cash because she recently had been in another Uber in New York City who demanded extra cash and then kicked her out of his car. Never riding Uber again."
514,"Original review: Dec. 9, 2018
If your son/daughter uses Uber - beware. My son recently used Uber and was charged a $150 cleaning fee. The driver submitted pictures taken from someone else's ride, and claimed the mess was made by him and his girlfriend. He contacted Uber to refute these charges, and told them to check the date and time on the picture. Uber said they didn't have that information. Apparently they believe whatever their drivers tell them. He went back and forth with Uber. Finally, I sent an email and told them the driver would have that info, and we would seek legal counsel if necessary. They soon refunded his money. On a Google search, I found out many Uber drivers do this. They often set up their car to show a mess, use the same pictures over and over again, and even have a bank of ""messy car"" pictures they submit. My advice - take pictures of the inside of the car before you leave."
515,"Original review: Dec. 9, 2018
It always shows as 5 min for arrival before booking the cab. As soon you I book the cab it takes 15-20 mins for the arrival. It still shows 12 mins arrival. You will not get to cancel the ride even because they charge cancellation fee for that. Always it has been a Worst experience."
516,"Original review: Dec. 8, 2018
No show. Never again. Airport. Uber booked for 0815. 0810 driver cancelled. 0815 booked another. 0840 driver phoned - can't find the address. 0850 driver cancelled. 0855. Panicking. Tried again. 0915 Uber arrived, not mine. Driver said would cancel client and take me for 30 euros."
517,"Original review: Dec. 7, 2018
Buyer beware! Do not buy an Uber gift card. I received one as a gift, and tried to use it to take a trip with Uber. The card did not work. I have sent 25 requests to Uber customer service, and have been told 25 times that Uber cannot apply gift cards to rides and they do not issue refunds. Please do not buy an Uber gift card! Uber customer service does not help with gift card issues. The only way to contact Uber customer service is through the app. They do not have a phone number."
518,"Original review: Dec. 7, 2018
I needed to grab a ride in pouring rain for 3-4 blocks. I'd been given a code for discount ride that was never credited. Then found another charge of $40 on my card. When I made a complaint their answer was I had made a mess requiring cleaning. First off there is no way I'd made a mess with 1 small bag and just sitting there. And if I got seat wet, well it's pouring rain! I could of gotten entire car cleaned for that much. I'm handicapped and on a fixed income. This extra fee causes a hardship and actually takes food from my table. I've used this company for years and have had good and bad but this is robbing me and taking advantage of a trust with my bank info. Company cannot be trusted."
519,"Original review: Dec. 6, 2018
I schedule two Ubers for a trip to the airport for a group of 6. The first Uber arrived and took half of the group. The second Uber was late. As per their policy, I was credited $10 for being late. I could see the Uber coming up the street, then turn around and cancel us. He said he had car trouble. My guess is he had just been notified he lost $10 for running late and decided not to complete the ride. There were no other rides available for more than an hour. We had to drive ourselves and pay for parking for the entire trip, plus pay for the additional Uber which we would not have needed if I knew we were driving ourselves. Uber just sent a canned response/apology. Unacceptable service!"
520,"Original review: Dec. 4, 2018
I was in the middle of my ride, maybe not even the middle 1/4 of the way to my destination and realized I can should switch my destination to another closer location. To edit your location, you have to click the search icon and edit your destination. Cool, However it wouldn’t let me. Inside the part where the search icon is and on top of that was a location symbol. Basically means you can’t change it. The location you picked is where you’re going. I figured this can’t be right and starting trying to get answers in why, I cannot change it. I was so furious!!! But because I selected a CHEAPER ride like Uber pool which makes total sense because it’s CHEAPER!!! But Uber won’t allow you to change it, if you selected Uber pool. Ok, I don’t get it.
Why can’t we? Because other possible riders are around the area and you don’t want to change up the location or the length but I’m the one paying for the service, it shouldn’t matter what type of Uber service you get, if you need to change your location you should be able to. Terrible terrible system they have. Like what if you have an emergency and need to change destination mid drive but you can’t. Am I suppose to cancel ride mid ride and then get out the car and deselect my location and wait and get a new driver!!! Unbelievable!!!

                    
                "
521,"Original review: Dec. 2, 2018
Their price is too high compared to Lyft so I stopped using Uber. I had scheduled times to be picked up early for work and still was late because the app kept switching drivers and I scheduled the ride for the next morning so I had to actually get a Uber a hour before I have to get to work to be there on time."
522,"Original review: Dec. 1, 2018
Headed to the airport, Uber asks me to confirm my phone number. I do, and they ask me to enter a 4 digit code that I never receive. I contact customer support via the app (there is no phone number), and they ask for my phone number, a screenshot of my phone number, and my last few trips. They contact me almost 2 hours after submitting these details to ask for these 3 details again. I sent this info again, and they reply with a similar message. I type everything out and take new screenshots of everything, and they once again ask me for my phone number. I finally ask, ""Is there any way I can continue using your app, or do I have to use a competitor going forward?"" 20 hours passes. No answer. All I want to do is use the app, all of my info is the same, and has never changed."
523,"Original review: Dec. 1, 2018
The response to my email to Uber Eats is unacceptable. I sent the below email to Uber Eats customer service...their response was basically a slap in the face.
“Hi, I would like a credit for the inconvenience my colleagues and students had to go through, as well as myself. I scheduled and placed this order at 8:30pm, for delivery between 10pm-10:30pm. At 11:00pm it was still pending, so we got food for our kids from somewhere else. At 12:20am, I just received a message that the order was accepted and is being delivered. This is unacceptable, as we had to spend $120 on room service due to the fact we could not reach the restaurant or Uber Eats and our students had to eat.
Not only am I disappointed in the lack of a customer service number that is NOT easily available, I never heard from anyone about our order. This caused stress beyond measure, which makes me question whether or not we will continue to use your service. Uber Eats just provided us the WORST experience ever tonight. Because of the undue stress, extra money, and time, I think a credit is due. Can you please review this order and process accordingly. Thank you.”

                    
                "
524,"Original review: Nov. 29, 2018
After an hour of waiting for our food, Uber tracking online said it was delivered but no food. Contacted the restaurant, they said not their problem but did give us the driver mobile number, We rang the driver, and she said that she couldn't find the address so she binned it. Submitted a complaint via Uber forms and no response. We will no longer use Uber Eats... It's a pity because the Uber taxi is a good service but I may need to cancel my account in protest."
525,"Original review: Nov. 28, 2018
I haven't used Uber in a couple of years. I was recently asked by my employer to activate Uber for business and link my personal account. The last time I attempted to log in to the Uber app, it wouldn't accept my password. I attempted to reset it, but never received the verification texts they sent me so I could not. I have since gotten new phone number and so I had no way to receive their verification texts. I contacted customer service and they responded with a generic reply asking for the same information I sent them in the help form. I replied giving them this information again and explaining that I could not get the verification texts so I could not reset my password. They asked me to provide a screenshot of the phone number on my phone, which I did, and then they replied saying it didn't match their records. Of course it didn't match their records! I already told them that. 
I replied once again explaining that I did not have access to the phone number I had originally signed up with. Again, they replied with the same generic form response as their first response. I replied a couple more times and each time they sent the same generic form response. This is some of the worst customer service I have ever experienced. I will be uninstalling the Uber app from my phone and I will never use their service again.

                    
                "
526,"Original review: Nov. 27, 2018
My elderly mother took ill and was hospitalized. I immediately booked a bus to head to the state she resides as I have moved away. The driver came to my neighborhood. I called to guide him to my home and he cancelled causing me to not be able to make my bus on time and unable to get a refund on my ticket. I am out of $70 bus fare with Uber basically offering no help or a solution. I was unable to spend for another ticket which leaves my mother to go home without care upon her discharge. The driver should be made to pay for my financial loss as people depend on their services. I was given no assistance and told they were unable to do anything about my financial loss."
527,"Original review: Nov. 27, 2018
I am a regular user of Uber cabs from the moment it was introduced in Hyderabad. I never had major issues with the services and I am happy to be using their hassle free services except for the Uber ride services. I have been using Uber ride pass since September 4 2018 and for the month of November this would be 3rd time of opting the Uber ride pass services for the year 2018. Since September 2018 the Uber ride pass flat fare is made applied along with overage on 90% of my rides during September and October 2018 rides. During one such ride, the fare was calculated wrongly and extra amount was charged instead of the actual amount which was shown before confirming the ride. 
On contacting the support services they have confirmed that extra was charged and reversed the entire overage amount. The fare was adjusted to the flat fare on that specific ride instead of actual amount which was shown to me before the ride. I was confused and tried analyzing the reason for reversing the overage amount and adjusting to flat fare instead of actual amount shown. I tried to contact the customer support in this regard, and tried for other rides raising that the trip fare was charged more than the applicable flat fare. I immediately got response and the extra overage amount which was collected has been reversed as Uber credits to me for a travel which was taken in the month of September 2018.
I therefore, raised concerns for all my rides taken since September 2018 till date that the Uber ride pass flat rate was not made applicable. From 04.09.2018 to 17.11.2018 all the rides I have taken and one ride on 19.11.2017 for which concern was raised have been adjusted to flat fare. The rides which were taken from 19.11.2018 are being rejected and the fare is not adjusted. My question is the fare adjusted to flat fare for the earlier taken for almost 2.5 months and why am I rejected the same benefit. On contacting the support team, they are giving a ready-made copy paste answer or recorded message sought of a thing without actually going through my concern or without trying to understand my issue. 
I am fed up with the continuous message I have been sending and the robotic replies I have got. The representatives at Support are not trying to understand my concern which is very simple. If they wanted to apply the rules then they should have done the same at the time of first reversal when the ride amount was adjusted to flat fare. If that was fair enough then you should practice the same for all my travels. Is it too much to expect a simple answer to my simple question. It’s a humble request to whoever is on the top of the support system to look into my concern and provide a proper resolution to my concern.

                    
                "
528,"Original review: Nov. 27, 2018
Sketchy minivan came to pick up my mom and me up in a dark, isolated place where they never would have known there were people waiting for an Uber. A large good looking ** man (about 35-40ish) that had the likeness of an '80s rapper got out of the front seat, sat in the back and motioned for us to get in. The driver, a Pacific Island or Asian descent man (about 40-45ish, or more) who had the likeness of the guy from Fantasy Island looked nothing like the photo of the driver in the app and didn't respond to the mentioned name. Wrong car. Set up like a ride share in the Maryland Baltimore area. Driver not the driver in the photo in the app. Driver did not respond to his name or know my name. What the heck, Uber?!"
529,"Original review: Nov. 25, 2018
Disgustingly poor customer service. Responses in the app seem to come from robots because I received the same response 5 TIMES to my initial inquiry and follow up responses. It seems like there are no humans that actually write back to you. I tried to get help from their support account Twitter handle but of course it was disgustingly unhelpful as well where I was told to just keep going back and forth with these robots responding in the app. I guess I’m never going to get my issues resolved which means I’m losing money. Despicable way to treat customers."
530,"Original review: Nov. 22, 2018
I would like for everyone to be safe for the holidays and also I wanted to share my HORRIBLE experience with Uber Atlanta Uber/Lyft Drivers United. So I was headed home from work and I rake a Uber from the train station and the Uber driver got ready turn in the neighborhood. And I told him this is the wrong neighborhood and Uber driver tells me, ""I’m following the GPS"" and proceed to go in the neighborhood and pulls up to a house that was also not mine. I then told him once again this is not where I live. And moral of the story I end up having to walk home and I will no longer be riding with UBER. They are unsafe and drivers don't care about your safe. I have continua to report my issue and they did nothing about us and thought a 5 dollar credit would solve the problem. I am terrified and very scared to after my multiple horrible experiences."
531,"Original review: Nov. 22, 2018
Had a Uber car pick my wife and self from 701 S Olive Ave Florida from ride to airport which is 10 minutes away. The fare posted was $7.55. The driver put in a false claim for spilled coffee in back seat. Absolutely false and attempt to claim damages from us. Car was clean when we entered and left. Wasting time having to communicate with Uber."
532,"Original review: Nov. 20, 2018
Uber keeps calling and sending ads to me to consider being a driver for them. I am a 66 year old lawyer and still very much active as a full time attorney. To my knowledge I only used them once, 5-6 years ago, to take my wife to a restaurant in NYC. It was not memorable for any reason. I would not dare step into one now after the rash of ** allegedly committed by their drivers. Same for LYFT."
533,"Original review: Nov. 20, 2018
I have been using Uber for YEARS and use it often, I have spent THOUSANDS of dollars on Uber, I am DONE. Uber does not screen their drivers anymore, drivers are rude or don't speak English which is the primary language where I live which makes it hard to communicate if need be, they do not check into the quality of the cars and I know this because I had a friend who has never used Uber sign up to be a driver and was approved after I had been picked up by more than 1 car with no ac and/or had some type of mechanical problem. 
The ""customer service"" department with their same automated messages that basically all say their driver did nothing wrong or ""things happen"" is more infuriating than anything to deal with. The quality of this whole company is just ridiculous. The change in the quality of service and people has become very apparent since there is no sign up fee to be a driver and literally ANYONE can now drive for Uber, luckily other ride share companies are becoming more popular and there are now more options.

                    
                "
534,"Original review: Nov. 18, 2018
I've been through so much with this app and it's only negative. I've had so much patience trying to deal with this company but nothing gets resolved except Uber taking my money. I bought $75 in Uber gift cards to get a $72 ride. They didn't allow me to use the gift cards and asked me to add a card. I followed instructions to do so. I had an active card but it kept asking me to update my billing settings. I KNOW everything was correct. For HOURS I WAITED IN THE COLD trying to figure out how to get one ride.
I was so set on using Uber because I had added the gift cards to my account and they aren't refundable. That was my biggest mistake. I tried to call. Uber has NO CUSTOMER SERVICE NUMBER to help at all. This is simply just a terrible business. I angrily downloaded Lyft because I didn't want to spend ANOTHER $75 on rides and got my ride within the first 5 minutes of opening the app and creating an account. After all is said and done, Uber took my money and Lyft was so simple to use. UBER IS TERRIBLE AND THEY STEAL YOUR MONEY.

                    
                "
